r,n1,n2
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":SAN JUAN DE OCOTLAN / VALLE REAL,""geo_pos"":[20.7218,-103.455],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.165],""name"":VALREA-JAL5092-GA,""model"":7750 SR-12,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.165}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":PATRIA,""geo_pos"":[20.6784,-103.421],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.166],""name"":PATRIA-JAL5077-GA,""model"":7750 SR-12,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.166}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":GUADALAJARA(GTAC),""geo_pos"":[20.6021,-103.424],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.167],""name"":GDLGTA-IUSTB00951-WA,""model"":7750 SR-12,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.167}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":CANADA,""geo_pos"":[20.648,-103.341],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.168],""name"":GDLMTX-JAL5075-EA,""model"":7750 SR-12,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.168}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":CANADA,""geo_pos"":[20.648,-103.341],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.169],""name"":GDLMTX-JAL5075-EB,""model"":7750 SR-12,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.169}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":PUERTO VALLARTA(GTAC),""geo_pos"":[20.7222,-105.202],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.174],""name"":PVAGTA-IUSTB00953-WA,""model"":7750 SR-12,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.174}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":CIUDAD TEPIC(GTAC),""geo_pos"":[21.5058,-104.879],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.176],""name"":TEPGTA-IUSTB00964-WA,""model"":7750 SR-12,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.176}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":EL ROCÍO,""geo_pos"":[19.0515,-104.294],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.177],""name"":ROCIOM-COL5002-GA,""model"":7750 SR-12,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.177}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":COLIMA(GTAC),""geo_pos"":[19.2714,-103.758],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.178],""name"":COLGTA-IUSTB00950-WA,""model"":7750 SR-12,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.178}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":AV. GALVÁN / COLIMA CENTRO,""geo_pos"":[19.2385,-103.718],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.179],""name"":COLCEN-COL5017-GA,""model"":7750 SR-12,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.179}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":MORELIA(GTAC),""geo_pos"":[19.6851,-101.251],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.181],""name"":MORGTA-MICH5022-WA,""model"":7750 SR-12,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.181}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":EL TOREO / TOREO,""geo_pos"":[19.6995,-101.211],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.182],""name"":TOREO-MICH5032-GA,""model"":7750 SR-12,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.182}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":LAS HUERTAS / COSMOS,""geo_pos"":[19.6833,-101.217],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.183],""name"":COSMOS-MOR007-GA,""model"":7750 SR-12,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.183}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":LA SALUD,""geo_pos"":[19.6974,-101.159],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.184],""name"":LASALU-MICH5022-GA,""model"":7750 SR-12,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.184}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":SIERRA LEONA,""geo_pos"":[19.7239,-101.196],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.185],""name"":SIELEO-MOR003H-GA,""model"":7750 SR-12,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.185}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":LAZARO CARDENAS(GTAC),""geo_pos"":[17.9758,-102.113],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.186],""name"":LCAGTA-IUSTB00948-WA,""model"":7750 SR-12,""type"":nokia_sros,""region"":R7,""ip_transport"":10.190.1.186}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":VIENA / PUERTO VALLARTA,""geo_pos"":[20.6349,-105.226],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.194],""name"":PUEVA1-JAL5012-GA,""model"":7750 SR-12,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.194}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""geo_pos"":[21.5027,-104.866],""site"":TEPIC,""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.195],""name"":TEPTVA-NAY5009-GA,""model"":7750 SR-12,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.195}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":LA LOMA,""geo_pos"":[20.5668,-103.27],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.206],""name"":LALOMA-JAL5059-GA,""model"":7750 SR-12,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.206}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":MANZANILLO(GTAC),""geo_pos"":[19.051,-104.279],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.209],""name"":MANGTA-IUSTB00966-WA,""model"":7750 SR-12,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.209}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":TEPIC II(GTAC),""geo_pos"":[21.5058,-104.879],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.211],""name"":TEPIC2-IUSTB00952-WA,""model"":7750 SR-12,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.211}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""geo_pos"":[20.6101,-103.402],""site"":MSO GUADALAJARA,""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.214],""name"":GDL-M3-CA,""model"":7750 SR-7,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.214}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""geo_pos"":[20.6101,-103.402],""site"":MSO GUADALAJARA,""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.215],""name"":GDL-M3-CB,""model"":7750 SR-7,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.215}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""geo_pos"":[20.6101,-103.402],""site"":MSO GUADALAJARA,""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.216],""name"":GDL-M3-EA,""model"":7750 SR-7,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.216}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""geo_pos"":[20.6101,-103.402],""site"":MSO GUADALAJARA,""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.217],""name"":GDL-M3-EB,""model"":7750 SR-7,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.217}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":OCOTLAN(GTAC),""geo_pos"":[20.2906,-102.7],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.219],""name"":OCOTLAN-WA,""model"":7750 SR-7,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.219}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":URUAPAN(GTAC),""geo_pos"":[19.3388,-102.096],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.220],""name"":URUAPAN-WA,""model"":7750 SR-7,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.220}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":URUAPAN,""geo_pos"":[19.4137,-102.06],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.1.221],""name"":URUAPAN-MICH5011-GA,""model"":7750 SR-a8,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.1.221}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
